timestamp,T_room,T_supply,T_amb,Q_heat,Q_gains,Q_sol,SOC
2025-12-02 06:00:00,22.0,38.437451515325336,6.0694983163051806,3879.5077801961743,1439.6,0.0,0.0
2025-12-02 07:00:00,22.0,39.68943601330662,4.678404429659311,5292.49748461785,1995.865,268.345,0.0
2025-12-02 08:00:00,22.0,39.071225486873345,5.365305014585176,4594.785084485258,9995.3338,8555.7338,0.0
2025-12-02 09:00:00,22.0,41.00049726062775,3.2216697104136096,6772.161208344483,10696.1482,9832.3882,0.0
2025-12-02 10:00:00,22.0,37.85299127225761,6.718898586380436,3219.8859498699408,10151.3442,9287.5842,0.0
2025-12-02 11:00:00,22.0,38.23244272567126,6.29728586036526,3648.1348601925874,9958.672,8950.952,0.0
2025-12-02 12:00:00,22.0,37.56430779519215,7.039658005342053,2894.0777776538607,10882.8869,9731.2069,0.0
2025-12-02 13:00:00,22.0,39.854921139813754,4.494532066873612,5479.263998393804,10934.7994,9927.0794,0.0
2025-12-02 14:00:00,22.0,38.75173055452984,5.720299383855728,4234.203103842381,1493.865,630.105,0.0
2025-12-02 15:00:00,22.0,41.02476628811536,3.194704124316273,6799.551232766995,949.44,85.68,0.0
2025-12-02 16:00:00,22.0,44.164837779938864,-0.2942641999320639,10343.435918439003,863.76,0.0,0.0
2025-12-02 17:00:00,22.0,39.37130321418984,5.031885317566851,4933.452807534651,1439.6,0.0,0.0
2025-12-02 18:00:00,22.0,44.804300167041134,-1.004777963379034,11065.133168522625,1727.52,0.0,0.0
2025-12-02 19:00:00,22.0,42.83881292576073,1.179096749154749,8846.884268013559,2015.44,0.0,0.0
2025-12-02 20:00:00,22.0,43.300596166991724,0.6660042588980807,9368.05283406686,1727.52,0.0,0.0
2025-12-02 21:00:00,22.0,44.05777098371807,-0.1753010930200788,10222.600332224218,1439.6,0.0,0.0
2025-12-02 22:00:00,22.0,45.727233786100825,-2.030259762334254,12106.756050993394,1151.68,0.0,0.0
2025-12-02 23:00:00,22.0,45.089152319136694,-1.3212803545963263,11386.617307377675,863.76,0.0,0.0
2025-12-03 00:00:00,22.0,44.85225927438671,-1.0580658604296758,11119.259817072843,575.84,0.0,0.0
2025-12-03 01:00:00,22.0,44.25439630628708,-0.3937736736523036,10444.511671275597,575.84,0.0,0.0
2025-12-03 02:00:00,22.0,42.09749704273231,2.0027810636307715,8010.235162427683,575.84,0.0,0.0
2025-12-03 03:00:00,22.0,44.2240349395748,-0.3600388217497791,10410.245832804121,575.84,0.0,0.0
2025-12-03 04:00:00,22.0,43.78471207896814,0.1280976900354039,9914.426052323446,575.84,0.0,0.0
2025-12-03 05:00:00,22.0,44.66386069999925,-0.8487341111102711,10906.633186019151,575.84,0.0,0.0
2025-12-03 06:00:00,22.0,41.31529661698119,2.871892647798674,7127.443761924976,1439.6,0.0,0.0
2025-12-03 07:00:00,22.0,39.9669618519779,4.37004238669122,5605.713146142258,2057.15,329.63,0.0
2025-12-03 08:00:00,22.0,40.64614573170693,3.6153936314367456,6372.240072804442,8824.8789,7385.2789,0.0
