STATIONS_ID,datetime,  QN,diffuse_radiation_J_cm2,global_radiation_J_cm2,sunshine_duration_min,longwave_radiation_J_cm2,eor,GHI_W_m2,DHI_W_m2
2559,2025-03-13 23:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 00:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 01:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 02:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 03:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 04:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:00:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:10:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:20:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:30:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:40:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 05:50:00,3,0.0,0.0,0.0,,eor,0.0,0.0
2559,2025-03-14 06:00:00,3,0.3,0.3,0.0,,eor,50.0,50.0
2559,2025-03-14 06:10:00,3,0.8,0.8,0.0,,eor,133.3,133.3
2559,2025-03-14 06:20:00,3,1.2,1.2,0.0,,eor,200.0,200.0
2559,2025-03-14 06:30:00,3,1.5,1.5,0.0,,eor,250.0,250.0
2559,2025-03-14 06:40:00,3,1.3,1.3,0.0,,eor,216.7,216.7
2559,2025-03-14 06:50:00,3,1.1,1.1,0.0,,eor,183.3,183.3
2559,2025-03-14 07:00:00,3,1.5,1.5,0.0,,eor,250.0,250.0
2559,2025-03-14 07:10:00,3,3.3,3.3,0.0,,eor,550.0,550.0
2559,2025-03-14 07:20:00,3,3.6,3.6,0.0,,eor,600.0,600.0
2559,2025-03-14 07:30:00,3,3.2,3.2,0.0,,eor,533.3,533.3
